id,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm106462,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],0.0,tt0116483,7.0,217534.0,16.583,6.6
ts20339,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8,112586.0,105.955,8.8
tm57554,MOVIE,1998,R,169,"['drama', 'war']",['US'],0.0,tt0120815,8.6,1346020.0,54.874,8.2
ts34435,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0,34.769,8.5
ts20927,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1,61145.0,61.159,7.9
ts5145,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8,3274.0,15.699,7.6
tm192405,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],0.0,tt0119177,7.8,298168.0,18.355,7.6
ts21567,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,119054.0,51.125,7.8
tm55553,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],0.0,tt0120611,7.1,267181.0,47.411,6.7
tm56574,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],0.0,tt0128853,6.7,209258.0,15.015,6.6
tm192037,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],0.0,tt0120201,7.3,288960.0,22.126,7.0
ts20983,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5,64727.0,51.993,8.6
ts22193,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8,9708.0,30.176,7.9
tm191989,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],0.0,tt0119008,7.7,300073.0,14.769,7.5
ts20960,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,21949.0,21.083,6.7
tm65686,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],0.0,tt0120873,6.5,103263.0,28.657,6.5
ts11397,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2,3808.0,23.374,6.2
tm54903,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],0.0,tt0194542,6.6,118811.0,22.205,6.3
tm187187,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],0.0,tt0107362,6.4,149290.0,18.865,6.4
tm191772,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],0.0,tt0120102,7.1,141308.0,14.442,7.2
tm191848,MOVIE,1997,Unknown,144,"['horror', 'thriller', 'drama']","['DE', 'US']",0.0,tt0118971,7.5,361422.0,34.774,7.4
